slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed
stone-game-viii,78,78,47.7277,SUCCESS,93.1819,Accepted,TRUE
minimum-xor-sum-of-two-arrays,64,64,89.9999,SUCCESS,87.1428,Accepted,TRUE
maximum-building-height,50,50,82.2224,SUCCESS,91.1111,Accepted,TRUE
find-xor-sum-of-all-pairs-bitwise-and,84,84,67.5673,SUCCESS,97.2972,Accepted,TRUE
closest-room,43,43,93.4783,SUCCESS,58.6957,Accepted,TRUE
number-of-different-subsequences-gcds,39,39,85.4169,SUCCESS,79.1668,Accepted,TRUE
maximize-number-of-nice-divisors,213,213,31.1111,SUCCESS,41.1111,Accepted,TRUE
maximum-score-of-a-good-subarray,73,73,56.5963,SUCCESS,47.5072,Accepted,TRUE
maximize-score-after-n-operations,77,77,83.4426,SUCCESS,41.0588,Accepted,TRUE
car-fleet-ii,85,85,72.3078,SUCCESS,76.1539,Accepted,TRUE
maximize-palindrome-length-from-subsequences,109,109,95.0821,SUCCESS,52.4594,Accepted,TRUE
count-pairs-of-nodes,63,63,78.9472,SUCCESS,64.9122,Accepted,TRUE
minimum-degree-of-a-connected-trio-in-a-graph,68,68,65.3544,SUCCESS,21.26,Accepted,TRUE
closest-subsequence-sum,74,74,83.116,SUCCESS,53.2458,Accepted,TRUE
building-boxes,86,86,100,SUCCESS,76.087,Accepted,TRUE
maximum-number-of-events-that-can-be-attended-ii,69,69,75.5404,SUCCESS,69.7848,Accepted,TRUE
count-ways-to-make-array-with-product,67,67,84.7677,SUCCESS,48.3443,Accepted,TRUE
minimum-operations-to-make-a-subsequence,82,82,89.0625,SUCCESS,35.9375,Accepted,TRUE
maximum-xor-with-an-element-from-array,67,67,91.3266,SUCCESS,40.3065,Accepted,TRUE
number-of-ways-to-reconstruct-a-tree,81,81,80.769,SUCCESS,84.6153,Accepted,TRUE
minimize-deviation-in-array,76,76,67.1225,SUCCESS,68.4931,Accepted,TRUE
create-sorted-array-through-instructions,65,65,27.5726,SUCCESS,61.6217,Accepted,TRUE
minimum-number-of-removals-to-make-mountain-array,91,91,39.9028,SUCCESS,80.7692,Accepted,TRUE
distribute-repeating-integers,109,109,42.2519,SUCCESS,76.0562,Accepted,TRUE
count-subtrees-with-max-distance-between-cities,31,31,31.2473,SUCCESS,85.7142,Accepted,TRUE
maximum-number-of-visible-points,119,119,96.3852,SUCCESS,57.1083,Accepted,TRUE
minimum-one-bit-operations-to-make-integers-zero,308,308,100,SUCCESS,24.6574,Accepted,TRUE
fancy-sequence,107,107,67.742,SUCCESS,100,Accepted,TRUE
cat-and-mouse-ii,180,180,15.1502,SUCCESS,22.7266,Accepted,TRUE
maximum-number-of-achievable-transfer-requests,117,117,44.6174,SUCCESS,72.3077,Accepted,TRUE
check-if-string-is-transformable-with-substring-sort-operations,138,138,39.3163,SUCCESS,57.265,Accepted,TRUE
strange-printer-ii,153,153,67.3765,SUCCESS,5.6737,Accepted,TRUE
number-of-ways-to-reorder-array-to-get-same-bst,161,161,74.4184,SUCCESS,88.372,Accepted,TRUE
minimum-number-of-days-to-disconnect-island,104,104,68.3459,SUCCESS,75.5396,Accepted,TRUE
count-all-possible-routes,109,109,80.0007,SUCCESS,88.3334,Accepted,TRUE
find-longest-awesome-substring,153,153,72.4143,SUCCESS,96.5517,Accepted,TRUE
get-the-maximum-score,82,82,95.2381,SUCCESS,38.0951,Accepted,TRUE
maximum-number-of-non-overlapping-substrings,285,285,7.6474,SUCCESS,97.4522,Accepted,TRUE
best-position-for-a-service-centre,56,56,18.936,SUCCESS,100,Accepted,TRUE
minimum-number-of-increments-on-subarrays-to-form-a-target-array,129,129,86.6346,SUCCESS,31.4009,Accepted,TRUE
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,50,50,84.2104,SUCCESS,21.0524,Accepted,TRUE
stone-game-iv,72,72,71.7262,SUCCESS,87.958,Accepted,TRUE
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,66,66,76.3644,SUCCESS,41.0909,Accepted,TRUE
maximum-number-of-darts-inside-of-a-circular-dartboard,65,65,34.0899,SUCCESS,79.5454,Accepted,TRUE
cherry-pickup-ii,59,59,81.5256,SUCCESS,75.5726,Accepted,TRUE
number-of-ways-of-cutting-a-pizza,54,54,72.4837,SUCCESS,89.9329,Accepted,TRUE
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,72,72,71.7949,SUCCESS,32.8205,Accepted,TRUE
form-largest-integer-with-digits-that-add-up-to-target,96,96,97.9592,SUCCESS,92.8572,Accepted,TRUE
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,31,31,33.3315,SUCCESS,71.2118,Accepted,TRUE
number-of-ways-to-wear-different-hats-to-each-other,65,65,91.2088,SUCCESS,97.8022,Accepted,TRUE
number-of-ways-to-paint-n-3-grid,50,50,88.5351,SUCCESS,59.0235,Accepted,TRUE
restore-the-array,86,86,90.8337,SUCCESS,65.8335,Accepted,TRUE
number-of-excellent-pairs,,,51.92,,5.57,Accepted,TRUE
number-of-increasing-paths-in-a-grid,,,68.58,,77.43,Accepted,TRUE
number-of-distinct-roll-sequences,,,81.71,,63.41,Accepted,TRUE
minimum-obstacle-removal-to-reach-corner,,,"68,64",,77.06,Accepted,TRUE
substring-with-largest-variance,,,16.02,,16.45,Accepted,TRUE
check-if-there-is-a-valid-parentheses-string-path,,,98.75,,75,Accepted,TRUE
escape-the-spreading-fire,,,6.39,,75.58,Accepted,TRUE
minimum-weighted-subgraph-with-the-required-paths,,,77.45,,82.63,Accepted,TRUE
find-substring-with-given-hash-value,,,72.94,,94.12,Accepted,TRUE
process-restricted-friend-requests,,,66.42,,74.63,Accepted,TRUE
count-fertile-pyramids-in-a-land,,,73.08,,47.44,Accepted,TRUE
longest-subsequence-repeated-k-times,,,,,,Time Limit Exceeded,TRUE
minimum-number-of-operations-to-make-array-continuous,,,77.29,,16.16,Accepted,TRUE
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,,,62.34,,64.94,Accepted,TRUE
largest-color-value-in-a-directed-graph,,,82.37,,86.16,Accepted,TRUE
minimum-interval-to-include-each-query,,,34.44,,33.4,Accepted,TRUE
minimum-number-of-operations-to-make-string-sorted,,,70.83,,91.67,Accepted,TRUE
make-the-xor-of-all-segments-equal-to-zero,,,9.52,,33.33,Accepted,TRUE
count-pairs-with-xor-in-a-range,,,87.88,,69.7,Accepted,TRUE
maximum-score-from-performing-multiplication-operations,,,84.44,,84.44,Accepted,TRUE
palindrome-partitioning-iv,,,72.31,,46.05,Accepted,TRUE
find-minimum-time-to-finish-all-jobs,,,19.58,,54.21,Accepted,TRUE
checking-existence-of-edge-length-limited-paths,,,87.33,,30,Accepted,TRUE
minimum-incompatibility,,,,,,Wrong Answer,TRUE
delivering-boxes-from-storage-to-ports,,,63.16,,64.91,Accepted,TRUE
maximize-grid-happiness,,,,,,Runtime Error,TRUE
number-of-ways-to-form-a-target-string-given-a-dictionary,,,48.57,,64.29,Accepted,TRUE
minimum-cost-to-connect-two-groups-of-points,,,,,,Wrong Answer,TRUE
remove-max-number-of-edges-to-keep-graph-fully-traversable,,,46.29,,89.71,Accepted,TRUE
minimum-cost-to-cut-a-stick,,,81.27,,62.99,Accepted,TRUE
find-a-value-of-a-mysterious-function-closest-to-target,,,87.93,,75.86,Accepted,TRUE
string-compression-ii,,,5.08,,30.51,Accepted,TRUE
max-value-of-equation,,,80.5,,23.65,Accepted,TRUE
paint-house-iii,,,,,,Wrong Answer,TRUE
allocate-mailboxes,,,70.71,,77.27,Accepted,TRUE
max-dot-product-of-two-subsequences,,,75.48,,63.23,Accepted,TRUE
stone-game-iii,,,65.21,,86.13,Accepted,TRUE
find-the-winning-player-in-coin-game,,,,,,Wrong Answer,TRUE
find-the-encrypted-string,,,,,,Wrong Answer,TRUE
find-the-integer-added-to-array-i,,,100,,22.85,Accepted,TRUE
score-of-a-string,,,31.38,,95.94,Accepted,TRUE
modify-the-matrix,,,30.06,,66.29,Accepted,TRUE
divide-an-array-into-subarrays-with-minimum-cost-i,,,14.52,,52.28,Accepted,TRUE
distribute-candies-among-children-i,,,65.1,,20.9,Accepted,TRUE
minimum-sum-of-mountain-triplets-i,,,35.21,,58.88,Accepted,TRUE
sum-of-values-at-indices-with-k-set-bits,,,100,,51.45,Accepted,TRUE
maximum-odd-binary-number,,,100,,58.97,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-i,,,100,,82.07,Accepted,TRUE
check-if-a-string-is-an-acronym-of-words,,,100,,60.63,Accepted,TRUE
check-if-the-number-is-fascinating,,,100,,33.63,Accepted,TRUE
remove-trailing-zeros-from-a-string,,,100,,11.35,Accepted,TRUE
minimum-string-length-after-removing-substrings,,,57.27,,34.2,Accepted,TRUE
maximum-difference-by-remapping-a-digit,,,6.44,,76.24,Accepted,TRUE
determine-the-winner-of-a-bowling-game,,,68.37,,98.3,Accepted,TRUE
split-with-minimum-sum,,,100,,18.44,Accepted,TRUE
odd-string-difference,,,100,,69.52,Accepted,TRUE
determine-if-two-events-have-conflict,,,100,,81.23,Accepted,TRUE
sort-the-people,,,80.96,,75.21,Accepted,TRUE
strong-password-checker-ii,,,19.67,,30.16,Accepted,TRUE
percentage-of-letter-in-string,,,3.48,,68.24,Accepted,TRUE
largest-number-after-digit-swaps-by-parity,,,16.04,,70,Accepted,TRUE
cells-in-a-range-on-an-excel-sheet,,,9.15,,63.72,Accepted,TRUE
keep-multiplying-found-values-by-two,,,100,,36.57,Accepted,TRUE
minimum-cost-of-buying-candies-with-discount,,,100,,63.13,Accepted,TRUE
check-if-all-as-appears-before-all-bs,,,100,,75.4,Accepted,TRUE
check-whether-two-strings-are-almost-equivalent,,,100,,90.23,Accepted,TRUE
minimum-number-of-moves-to-seat-everyone,,,16.8,,74.76,Accepted,TRUE
minimum-difference-between-highest-and-lowest-of-k-scores,,,90.56,,65.05,Accepted,TRUE
minimum-time-to-type-word-using-special-typewriter,,,100,,55.44,Accepted,TRUE
sum-of-digits-of-string-after-convert,,,24.89,,14.55,Accepted,TRUE
largest-odd-number-in-string,,,89.63,,20.55,Accepted,TRUE
check-if-word-equals-summation-of-two-words,,,100,,11.4,Accepted,TRUE
minimum-distance-to-the-target-element,,,100,,65.6,Accepted,TRUE
sorting-the-sentence,,,74.41,,69.06,Accepted,TRUE
replace-all-digits-with-characters,,,100,,34.36,Accepted,TRUE
determine-color-of-a-chessboard-square,,,100,,16.67,Accepted,TRUE
check-if-binary-string-has-at-most-one-segment-of-ones,,,100,,7.42,Accepted,TRUE
find-nearest-point-that-has-the-same-x-or-y-coordinate,,,31.31,,93.13,Accepted,TRUE
check-if-two-string-arrays-are-equivalent,,,100,,63.88,Accepted,TRUE
sort-array-by-increasing-frequency,,,71.22,,30.06,Accepted,TRUE
find-the-minimum-amount-of-time-to-brew-potions,,,,,,Wrong Answer,TRUE
find-minimum-cost-to-remove-array-elements,,,,,,Wrong Answer,TRUE
maximum-sum-with-at-most-k-elements,,,60.94,,58.25,Accepted,TRUE
maximum-manhattan-distance-after-k-changes,,,,,,Wrong Answer,TRUE
paint-house-iv,,,,,,Wrong Answer,TRUE
sum-of-k-subarrays-with-length-at-least-m,,,,,,Time Limit Exceeded,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subsequences,,,,,,Wrong Answer,TRUE
maximum-amount-of-money-robot-can-earn,,,,,,Wrong Answer,TRUE
find-mirror-score-of-a-string,,,,,,Time Limit Exceeded,TRUE
find-minimum-time-to-reach-last-room-ii,,,,,,Wrong Answer,TRUE
construct-the-minimum-bitwise-array-ii,,,,,,Time Limit Exceeded,TRUE
minimum-number-of-valid-strings-to-form-target-i,,,,,,Time Limit Exceeded,TRUE
find-a-safe-walk-through-a-grid,,,87.85,,72.59,Accepted,TRUE
hash-divided-string,,,41.83,,54.9,Accepted,TRUE
count-substrings-with-k-frequency-characters-i,,,,,,Time Limit Exceeded,TRUE
minimum-operations-to-make-binary-array-elements-equal-to-one-i,,,,,,Wrong Answer,TRUE
generate-binary-strings-without-adjacent-zeros,,,65.56,,45.88,Accepted,TRUE
minimum-number-of-operations-to-satisfy-conditions,,,94.48,,77.93,Accepted,TRUE
minimum-substring-partition-of-equal-character-frequency,,,45.36,,88.66,Accepted,TRUE
maximum-difference-score-in-a-grid,,,27.35,,28.91,Accepted,TRUE
minimum-deletions-to-make-string-k-special,,,24.21,,72.63,Accepted,TRUE
replace-question-marks-in-string-to-minimize-its-value,,,,,,Wrong Answer,TRUE
maximize-happiness-of-selected-children,,,74.88,,93.6,Accepted,TRUE
lexicographically-smallest-string-after-operations-with-constraint,,,20.83,,46.88,Accepted,TRUE
minimum-operations-to-write-the-letter-y-on-a-grid,,,27.35,,8.92,Accepted,TRUE
find-the-largest-area-of-square-inside-two-rectangles,,,38.39,,44.64,Accepted,TRUE
apply-operations-to-make-string-empty,,,,,,Wrong Answer,TRUE
find-the-number-of-ways-to-place-people-i,,,53.23,,89.61,Accepted,TRUE
find-polygon-with-the-largest-perimeter,,,97.69,,84.72,Accepted,TRUE
minimum-cost-to-convert-string-i,,,86.46,,56.6,Accepted,TRUE
minimum-operations-to-maximize-last-elements-in-arrays,,,77.08,,59.38,Accepted,TRUE
minimum-sum-of-mountain-triplets-ii,,,98.34,,74.59,Accepted,TRUE
minimum-equal-sum-of-two-arrays-after-replacing-zeros,,,10.24,,42.45,Accepted,TRUE
minimum-moves-to-spread-stones-over-grid,,,45.04,,55.86,Accepted,TRUE
minimum-absolute-difference-between-elements-with-constraint,,,91.1,,64.06,Accepted,TRUE
find-the-safest-path-in-a-grid,,,85.28,,55.08,Accepted,TRUE
sorting-three-groups,,,48.17,,45.12,Accepted,TRUE
sort-vowels-in-a-string,,,82.59,,16.74,Accepted,TRUE
partition-string-into-minimum-beautiful-substrings,,,51.2,,51.2,Accepted,TRUE
lexicographically-smallest-string-after-substring-operation,,,75.29,,28.16,Accepted,TRUE
extra-characters-in-a-string,,,62.68,,79.49,Accepted,TRUE
maximum-strength-of-a-group,,,,,,Wrong Answer,TRUE
minimum-number-of-operations-to-make-all-array-elements-equal-to-1,,,50,,54.29,Accepted,TRUE
check-knight-tour-configuration,,,100,,93.27,Accepted,TRUE
total-cost-to-hire-k-workers,,,14.1,,19.64,Accepted,TRUE
count-number-of-distinct-integers-after-reverse-operations,,,70.51,,93.13,Accepted,TRUE
using-a-robot-to-print-the-lexicographically-smallest-string,,,7.93,,71.99,Accepted,TRUE
divide-intervals-into-minimum-number-of-groups,,,61.49,,92.24,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-ii,,,,,,Time Limit Exceeded,TRUE
find-the-maximum-number-of-fruits-collected,,,,,,Wrong Answer,TRUE
total-characters-in-string-after-transformations-ii,,,,,,Wrong Answer,TRUE
maximum-value-sum-by-placing-three-rooks-i,,,,,,Wrong Answer,TRUE
maximum-value-sum-by-placing-three-rooks-ii,,,,,,Wrong Answer,TRUE
maximum-score-from-grid-operations,,,,,,Wrong Answer,TRUE
find-the-minimum-cost-array-permutation,,,,,,Time Limit Exceeded,TRUE
find-all-possible-stable-binary-arrays-ii,,,,,,Wrong Answer,TRUE
minimum-sum-of-values-by-dividing-array,,,,,,Time Limit Exceeded,TRUE
find-the-sum-of-the-power-of-all-subsequences,,,56.41,,58.97,Accepted,TRUE
find-the-sum-of-subsequence-powers,,,,,,Time Limit Exceeded,TRUE
find-the-number-of-ways-to-place-people-ii,,,,,,Time Limit Exceeded,TRUE
minimum-cost-to-convert-string-ii,,,,,,Time Limit Exceeded,TRUE
count-complete-substrings,,,,,,Time Limit Exceeded,TRUE
count-beautiful-substrings-ii,,,,,,Wrong Answer,TRUE
maximum-balanced-subsequence-sum,,,,,,Wrong Answer,TRUE
subarrays-distinct-element-sum-of-squares-ii,,,,,,Time Limit Exceeded,TRUE
number-of-beautiful-integers-in-the-range,,,45.16,,43.01,Accepted,TRUE
count-stepping-numbers-in-range,,,,,,Wrong Answer,TRUE
painting-the-walls,,,97.73,,71.94,Accepted,TRUE
count-of-integers,,,94.74,,5.15,Accepted,TRUE
minimum-time-to-visit-a-cell-in-a-grid,,,59.01,,52.87,Accepted,TRUE
find-the-string-with-lcp,,,,,,Wrong Answer,TRUE
minimum-number-of-visited-cells-in-a-grid,,,,,,Wrong Answer,TRUE
lexicographically-smallest-beautiful-string,,,,,,Runtime Error,TRUE
put-marbles-in-bags,,,76.58,,35.1,Accepted,TRUE
shortest-cycle-in-a-graph,,,83.16,,25.81,Accepted,TRUE
time-to-cross-a-bridge,,,57.41,,94.44,Accepted,TRUE
minimum-total-distance-traveled,,,88.28,,85.52,Accepted,TRUE
count-subarrays-with-fixed-bounds,,,95.54,,46.48,Accepted,TRUE
