slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y
zero-array-transformation-iii,,Wrong Answer,824,515,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
zero-array-transformation-ii,,Wrong Answer,627,89,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
zero-array-transformation-i,,Wrong Answer,668,294,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-minimum-time-to-reach-last-room-i,,Wrong Answer,744,2,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-frequency-of-an-element-after-performing-operations-i,,Wrong Answer,635,491,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
adjacent-increasing-subarrays-detection-ii,,Wrong Answer,1111,915,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-division-operations-to-make-array-non-decreasing,,Wrong Answer,720,597,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
identify-the-largest-outlier-in-an-array,,Wrong Answer,873,172,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-lexicographically-smallest-valid-sequence,,Wrong Answer,905,174,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-almost-equal-pairs-i,,Wrong Answer,686,480,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
reach-end-of-array-with-max-score,,Wrong Answer,626,17,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-number-of-flips-to-make-binary-grid-palindromic-ii,,Wrong Answer,661,68,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-power-of-k-size-subarrays-i,,Wrong Answer,857,838,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximize-the-total-height-of-unique-towers,,Wrong Answer,583,468,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
k-th-largest-perfect-subtree-size-in-binary-tree,,Wrong Answer,766,206,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-count-of-numbers-which-are-not-special,,Wrong Answer,855,849,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-number-of-operations-to-move-ones-to-the-end,,Wrong Answer,694,148,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-submatrices-with-equal-frequency-of-x-and-y,,Wrong Answer,770,18,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-maximum-length-of-valid-subsequence-ii,,Wrong Answer,732,75,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-maximum-length-of-valid-subsequence-i,,Wrong Answer,951,38,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-maximum-removals-from-source-string,,Wrong Answer,755,536,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximize-total-cost-of-alternating-subarrays,,Wrong Answer,692,99,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
vowels-game-in-a-string,,Wrong Answer,697,591,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-maximum-length-of-a-good-subsequence-i,,Wrong Answer,543,311,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-length-of-string-after-operations,,Wrong Answer,702,475,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
lexicographically-minimum-string-after-removing-stars,,Wrong Answer,602,559,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-the-number-of-special-characters-ii,66.8648,Accepted,896,736,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-length-of-anagram-concatenation,,Wrong Answer,560,279,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-array-end,,Wrong Answer,765,50,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
water-bottles-ii,14.1592,Accepted,958,727,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
apply-operations-to-make-string-empty,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
find-the-maximum-number-of-elements-in-subset,,Wrong Answer,731,355,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-if-array-can-be-sorted,90.184,Accepted,999,677,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-moves-to-capture-the-queen,,Wrong Answer,744,378,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-longest-special-substring-that-occurs-thrice-i,,Wrong Answer,812,50,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-points-after-enemy-battles,,Wrong Answer,579,44,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-size-of-a-set-after-removals,,Wrong Answer,969,961,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-subarrays-where-max-element-appears-at-least-k-times,,Wrong Answer,634,104,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
distribute-candies-among-children-ii,63.0281,Accepted,958,560,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
separate-black-and-white-balls,,Wrong Answer,581,69,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-xor-product,,Wrong Answer,863,227,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
maximum-score-after-applying-operations-on-a-tree,,Wrong Answer,821,0,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-indices-with-index-and-value-difference-ii,,Wrong Answer,517,430,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-size-subarray-in-infinite-array,,Wrong Answer,535,383,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
happy-students,,Wrong Answer,727,0,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
apply-operations-to-make-two-strings-equal,,Wrong Answer,729,425,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
construct-product-matrix,,Wrong Answer,1566,160,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-additions-to-make-valid-string,,Wrong Answer,1523,185,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
count-the-number-of-square-free-subsets,,Wrong Answer,44,23,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
take-k-of-each-character-from-left-and-right,,Time Limit Exceeded,142,125,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
most-profitable-path-in-a-tree,,Wrong Answer,31,0,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
longest-special-path-ii,,Wrong Answer,678,351,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-subarrays-after-removing-one-conflicting-pair,,Wrong Answer,642,0,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-the-distance-between-points-on-a-square,,Wrong Answer,619,321,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-the-minimum-game-score,,Wrong Answer,692,21,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-operations-to-make-array-elements-zero,,Wrong Answer,646,24,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
length-of-longest-v-shaped-diagonal-segment,,Wrong Answer,561,154,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
smallest-substring-with-identical-characters-ii,,Wrong Answer,970,91,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-cost-good-caption,,Wrong Answer,714,5,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-increments-for-target-multiples-in-an-array,,Wrong Answer,590,216,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
shortest-matching-substring,,Wrong Answer,795,124,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
smallest-substring-with-identical-characters-i,,Wrong Answer,949,487,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
longest-special-path,,Wrong Answer,675,260,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-connected-components-in-lcm-graph,,Wrong Answer,697,462,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-sum-of-weights-after-edge-removals,,Wrong Answer,714,513,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-non-decreasing-subarrays-after-k-operations,,Wrong Answer,731,0,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimize-the-maximum-adjacent-element-difference,,Wrong Answer,958,21,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
sum-of-good-subsequences,,Wrong Answer,679,45,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-the-number-of-target-nodes-after-connecting-trees-ii,,Wrong Answer,825,4,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-frequency-of-an-element-after-performing-operations-ii,,Wrong Answer,633,300,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-operations-to-make-character-frequencies-equal,,Wrong Answer,773,72,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-original-typed-string-ii,,Wrong Answer,846,135,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-number-of-subsequences-with-equal-gcd,,Wrong Answer,622,25,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-number-of-possible-ways-for-an-event,,Wrong Answer,568,64,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
check-if-dfs-strings-are-palindromes,,Wrong Answer,584,208,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-the-number-of-winning-sequences,,Wrong Answer,691,147,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
sorted-gcd-pair-queries,,Time Limit Exceeded,721,550,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
construct-2d-grid-matching-graph-layout,,Wrong Answer,785,90,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-maximum-sequence-value-of-array,,Wrong Answer,641,397,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,,Wrong Answer,760,85,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
length-of-the-longest-increasing-path,,Wrong Answer,725,242,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
select-cells-in-grid-with-maximum-score,,Wrong Answer,546,465,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-score-of-non-overlapping-intervals,,Wrong Answer,581,573,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-number-of-moves-to-kill-all-pawns,,Wrong Answer,692,103,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-xor-score-subarray-queries,,Wrong Answer,635,241,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-count-of-good-integers,,Wrong Answer,90,9,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-almost-equal-pairs-ii,,Wrong Answer,631,429,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-count-of-monotonic-pairs-ii,,Wrong Answer,801,375,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-count-of-monotonic-pairs-i,,Wrong Answer,801,381,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-amount-of-damage-dealt-to-bob,,Wrong Answer,897,13,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
alternating-groups-iii,,Wrong Answer,731,193,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
shortest-distance-after-road-addition-queries-ii,,Wrong Answer,644,2,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
check-if-the-rectangle-corner-is-reachable,,Wrong Answer,933,565,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-the-number-of-inversions,,Wrong Answer,720,77,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-minimum-area-to-cover-all-ones-ii,,Wrong Answer,661,631,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-operations-to-make-array-equal-to-target,,Wrong Answer,554,119,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-maximum-length-of-a-good-subsequence-ii,,Wrong Answer,551,449,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
block-placement-queries,,Wrong Answer,744,425,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-products-of-elements-of-big-array,,Wrong Answer,758,233,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-cost-to-equalize-array,,Wrong Answer,636,559,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-number-of-subarrays-where-boundary-elements-are-maximum,59.4196,Accepted,890,104,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
kth-smallest-amount-with-single-denomination-combination,,Wrong Answer,561,312,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-consecutive-elements-in-an-array-after-modification,,Wrong Answer,668,97,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
earliest-second-to-mark-indices-ii,,Wrong Answer,510,176,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimize-or-of-remaining-elements-using-operations,,Wrong Answer,822,3,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-the-number-of-powerful-integers,,Wrong Answer,933,809,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-the-number-of-partitions-after-operations,,Wrong Answer,277,267,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-the-number-of-infection-sequences,,Wrong Answer,1000,477,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-the-number-of-good-partitions,,Wrong Answer,813,809,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-maximum-non-decreasing-array-length,,Wrong Answer,553,113,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-beautiful-substrings-ii,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
palindrome-rearrangement-queries,,Wrong Answer,1211,891,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
apply-operations-to-maximize-frequency-score,,Wrong Answer,774,117,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-building-where-alice-and-bob-can-meet,,Wrong Answer,953,137,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-points-after-collecting-coins-from-all-nodes,,Wrong Answer,542,231,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-valid-paths-in-a-tree,,Wrong Answer,922,10,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-spending-after-buying-items,,Wrong Answer,779,313,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-of-sub-multisets-with-bounded-sum,,Time Limit Exceeded,643,515,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
string-transformation,,Runtime Error,726,95,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-changes-to-make-k-semi-palindromes,,Wrong Answer,558,257,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
modify-graph-edge-weights,,Wrong Answer,882,223,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
subsequence-with-the-minimum-score,,Wrong Answer,54,22,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-the-minimum-powered-city,,Wrong Answer,30,9,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
number-of-beautiful-partitions,,Wrong Answer,74,31,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
split-message-based-on-limit,,Wrong Answer,94,86,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-number-of-non-overlapping-palindrome-substrings,,Wrong Answer,56,10,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
height-of-binary-tree-after-subtree-removal-queries,,Wrong Answer,40,0,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
longest-increasing-subsequence-ii,,Wrong Answer,84,76,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-the-k-sum-of-an-array,,Wrong Answer,111,7,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-total-beauty-of-the-gardens,,Wrong Answer,77,43,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
count-good-triplets-in-an-array,,Wrong Answer,148,30,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-fruits-harvested-after-at-most-k-steps,,Wrong Answer,202,95,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
sequentially-ordinal-rank-tracker,,Runtime Error,81,3,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-number-of-tasks-you-can-assign,,Wrong Answer,49,30,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
number-of-valid-move-combinations-on-chessboard,,Wrong Answer,273,202,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-number-of-ways-to-partition-an-array,64.5162,Accepted,178,125,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
find-array-given-subset-sums,,Wrong Answer,131,14,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
number-of-ways-to-separate-numbers,,Wrong Answer,257,35,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
longest-common-subpath,,Wrong Answer,81,68,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-cost-to-reach-destination-in-time,,Wrong Answer,93,86,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
the-earliest-and-latest-rounds-where-players-compete,,Wrong Answer,137,77,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
design-movie-rental-system,,Wrong Answer,42,23,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-skips-to-arrive-at-meeting-on-time,,Wrong Answer,61,60,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
finding-mk-average,,Wrong Answer,17,7,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximum-number-of-groups-getting-fresh-donuts,,Wrong Answer,74,1,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
tree-of-coprimes,,Wrong Answer,37,1,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-adjacent-swaps-for-k-consecutive-ones,,Wrong Answer,117,3,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
minimum-initial-energy-to-finish-tasks,90.099,Accepted,42,4,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
maximize-grid-happiness,,Wrong Answer,,,,,,Runtime Error,TRUE,Hard,Hard
minimum-cost-to-connect-two-groups-of-points,,Runtime Error,,,,,,Wrong Answer,TRUE,Hard,Hard
parallel-courses-ii,,Wrong Answer,82,69,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
probability-of-a-two-boxes-having-the-same-number-of-distinct-balls,38.2984,Accepted,21,5,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
double-modular-exponentiation,100,Accepted,524,0,,SUCCESS,,Runtime Error,TRUE,Medium,Medium
smallest-divisible-digit-product-ii,,Wrong Answer,954,2,,SUCCESS,,Runtime Error,TRUE,Hard,Hard
minimum-number-of-valid-strings-to-form-target-i,,Time Limit Exceeded,,,,,,Time Limit Exceeded,TRUE,Medium,Medium
find-the-power-of-k-size-subarrays-ii,,Time Limit Exceeded,653,641,,SUCCESS,,Time Limit Exceeded,TRUE,Medium,Medium
check-if-digits-are-equal-in-string-after-operations-ii,,Time Limit Exceeded,,,,,,Time Limit Exceeded,TRUE,Hard,Hard
maximum-and-minimum-sums-of-at-most-size-k-subarrays,,Wrong Answer,684,622,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
construct-string-with-minimum-cost,,Time Limit Exceeded,808,713,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
number-of-subarrays-that-match-a-pattern-ii,,Time Limit Exceeded,792,775,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-the-number-of-ways-to-place-people-ii,,Time Limit Exceeded,,,,,,Time Limit Exceeded,TRUE,Hard,Hard
divide-an-array-into-subarrays-with-minimum-cost-ii,,Wrong Answer,691,687,,SUCCESS,,Time Limit Exceeded,TRUE,Hard,Hard
find-the-encrypted-string,,Wrong Answer,,,,,,Wrong Answer,TRUE,Easy,Easy
zero-array-transformation-iv,,Wrong Answer,714,339,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
find-the-minimum-amount-of-time-to-brew-potions,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
find-minimum-cost-to-remove-array-elements,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
maximum-and-minimum-sums-of-at-most-size-k-subsequences,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
find-minimum-time-to-reach-last-room-ii,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
shortest-distance-after-road-addition-queries-i,33.23,Accepted,972,394,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
replace-question-marks-in-string-to-minimize-its-value,,Wrong Answer,,,,,,Wrong Answer,TRUE,Medium,Medium
minimum-cost-to-make-array-equalindromic,,Wrong Answer,650,602,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-number-of-coins-for-fruits,65.7,Accepted,578,81,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
minimum-cost-of-a-path-with-special-roads,,Wrong Answer,1045,999,,SUCCESS,,Wrong Answer,TRUE,Medium,Medium
lexicographically-smallest-generated-string,,Wrong Answer,739,723,,SUCCESS,,Wrong Answer,TRUE,Hard,Hard
total-characters-in-string-after-transformations-ii,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
maximum-value-sum-by-placing-three-rooks-ii,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
count-stepping-numbers-in-range,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
find-the-string-with-lcp,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
paint-house-iii,,Wrong Answer,,,,,,Wrong Answer,TRUE,Hard,Hard
